120MM.SHP	120mm Cannon shot
HELIICNH.TEM	ICON: Apache Helicopter
HELIICNH.WIN	ICON: Apache Helicopter
HELIICON.SHP	ICON: Apache Helicopter
HELIUP1.AUD
HELIUP1.JUV
HELLVALY.VQA	Valley Filled With Tiberium
HELLVALY.VQP	Valley Filled With Tiberium
HFNT-D.FNT	???
HISCORE1.SHP	Score Screen Corner piece
HISCORE2.SHP	Score Screen Bar Across Top
HMAP.SHP	BUTT: Map
HOSP.SHP	Hospital
HOSPICON.SHP	ICON: Hospital
HOSPMAKE.SHP	MAKE: Hospital
HPAD.SHP	Helipad
HPADICNH.DES	ICON: Helipad
HPADICNH.TEM	ICON: Helipad
HPADICNH.WIN	ICON: Helipad
HPADICON.SHP	ICON: Helipad
HPADMAKE.SHP	MAKE: Helipad
HPIPS.SHP	Building Messages
HPOWER.SHP	Power Requirement Indicator
HPWRBAR.SHP	Powerbar
HQ.SHP	Comm. Center
HQICNH.DES	ICON: Comm. Center
HQICNH.TEM	ICON: Comm. Center
HQICNH.WIN	ICON: Comm. Center
HQICON.SHP	ICON: Comm. Center
HQMAKE.SHP	MAKE: Comm. Center
HRADAR.GDI	GDI Radar And Logo
HRADAR.JP	JP Radar And Logo
HRADAR.NOD	NOD Radar And Logo
HREPAIR.SHP	BUTT: Repair
HSAFRICA.WSA	ANIM: Zoom on South Africa
HSELL.SHP	BUTT: Sell
HSIDE1.SHP	Sidebar 1
HSIDE2.SHP	Sidebar 2
HSTRIP.SHP	Sidebar Background
HSTRIPDN.SHP	BUTT: Scroll Down
HSTRIPUP.SHP	BUTT: Scroll Up
HTABS.SHP	Tabs
HTITLE.PCX	PICT: Title Screen
HTNK.SHP	Mammoth Tank
HTNKICNH.DES	ICON: Mammoth Tank
HTNKICNH.TEM	ICON: Mammoth Tank
HTNKICNH.WIN	ICON: Mammoth Tank
HTNKICON.SHP	ICON: Mammoth Tank
HVYDOOR1.AUD	Heavy Door
HVYDOOR1.JUV	Heavy Door
HVYGUN10.AUD	Heavy Gun
HVYGUN10.JUV	Heavy Gun
I_AM.AUD	I Am
INCOME1.AUD	Incoming Missile
IND.AUD	Industrial
IND2.AUD	Canyon Chase
INFERNO.VQA	Flame Tank Torching Village
INFERNO.VQP	Flame Tank Torching Village
INSITES.VQA	Sam Site Shooting Plane
INSITES.VQP	Sam Site Shooting Plane
INTRO2.VQA	C&C Intro Movie
INTRO2.VQP	C&C Intro Movie
INVUN.SHP	CRAT: Heal All Units
ION1.AUD	Ion Cannon
ION1.JUV	Ion Cannon
IONCHRG1.AUD	Ion Cannon Charging
IONICNH.DES	ICON: Ion Cannon
IONICNH.TEM	ICON: Ion Cannon
IONICNH.WIN	ICON: Ion Cannon
IONICON.SHP	ICON: Ion Cannon
IONREDY1.AUD	Ion Cannon Ready
IONSFX.SHP	Ion Cannon Discharge
IONTEST.VQA	Ion Cannon Test
IONTEST.VQP	Ion Cannon Test
J1.AUD	Untamed Land
JDI_V2.AUD	Take Em' Out
JEEP.SHP	Hummvee
JEEPICNH.DES	ICON: Hummvee
JEEPICNH.TEM	ICON: Hummvee
JEEPICNH.WIN	ICON: Hummvee
JEEPICON.SHP	ICON: Hummvee
JUSTDOIT.AUD	Just Do It!
KABOOM12.AUD	Explosion
KABOOM15.AUD	Explosion
KANEFINL.AUD	Kane's Speech
KANEPRE.VQA	Kane's Intro To Tiberium
KANEPRE.VQP	Kane's Intro To Tiberium
KEEPEM1.AUD	Commando Keep Em Comming
KEYSTROK.AUD	Keystroke
LANDING.VQA	Hovercrafts Landing
LANDING.VQP	Hovercrafts Landing
LASTSCNB.PAL	PAL: ???
LASTSCNG.PAL	PAL: ???
LAUGH1.AUD	Commando Laugh
LED.FNT	Led
LEFT1.WSA	ANIM: Left Mouth Moving
LEFT16.AUD	Left
LEFTY1.AUD	Commando That Was Left Handed
LINEFIRE.AUD	In The Line Of Fire
local mix database.dat	mix database
LOCAL.INF	INF: List For LOCAL.MIX
LOGO.VQA	Westwood Logo
LOGO.VQP	Westwood Logo
LOGOS.SHP	Score Screen GDI/NOD Logo
LOOPIE6M.AUD	Satellite sounds
LOPOWER1.AUD	Low Power
LROTOR.SHP	Rotor Shadows
LST.SHP	Hovercraft
LSTICNH.DES	ICON: Hovercraft
LSTICNH.TEM	ICON: Hovercraft
LSTICNH.WIN	ICON: Hovercraft
LSTICON.SHP	ICON: Hovercraft
LTNK.SHP	Light Tank
LTNKICNH.DES	ICON: Light Tank
LTNKICNH.TEM	ICON: Light Tank
LTNKICNH.WIN	ICON: Light Tank
LTNKICON.SHP	ICON: Light Tank
MAP.PAL	PAL: Map
MAP.SHP	BUTT: Earth
MAP1.AUD	Map Theme
MAP1.PAL	PAL: ???
MAP_GRY2.PAL	PAL: ???
MAP_LOC2.PAL	PAL: ???
MAP_LOC3.PAL	PAL: ???
MAP_LOCL.PAL	PAL: ???
MAP_PROG.PAL	PAL: ???
MARCH.AUD	March To Doom
MCOMND1.AUD	Commander
MCOURSE1.AUD	Of Course
MCV.SHP	MCV
MCVICNH.DES	ICON: MCV
MCVICNH.TEM	ICON: MCV
MCVICNH.WIN	ICON: MCV
MCVICON.SHP	ICON: MCV
MGUN11.AUD	Gunshot
MGUN11.JUV	Gunshot
MGUN2.AUD	Gunshot
MGUN2.JUV	Gunshot
MHELLO1.AUD	Hello
MHMMM1.AUD	Hmmm
MHQ.SHP	Mobile HQ
MHQICON.SHP	ICON: Mobile HQ
MINE.SHP	CRAT: Mine
MINIGUN.SHP	Muzzle Flash
MISS.SHP	Tech Center
MISSILE.SHP	Small Rocket
MISSILE2.SHP	CRAT: Nuclear Strike
MISSION.INI	INIF: Mission Briefings
MLRS.SHP	SSM Launcher
MLRSICNH.DES	ICON: SSM Launcher
MLRSICNH.TEM	ICON: SSM Launcher
MLRSICNH.WIN	ICON: SSM Launcher
MLRSICON.SHP	ICON: SSM Launcher
MLTIPLYR.WSA	ANIM: Multiplayer Score Screen
MMDAT.INF	INF: List For MM.DAT
MMGDAT.INF	INF: List For MMGOLD.DAT
MOCASH1.AUD	Need More Funds
MOEBIUS.SHP	Doctor Mobieus
MOUSE.SHP	CURS: Mouse Cursors
MOUTHS.WSA	ANIM: Mouths Moving
MOVEFLSH.SHP	Movement Circles
MOVOUT1.V00	Move Out #1
MOVOUT1.V01	Move Out #2
MOVOUT1.V02	Move Out #3
MOVOUT1.V03	Move Out #4
MPLAN3.AUD	A wonderfull plan
MSAM.SHP	Rocket Launcher
MSAMICNH.DES	ICON: Rocket Launcher
MSAMICNH.TEM	ICON: Rocket Launcher
MSAMICNH.WIN	ICON: Rocket Launcher
MSAMICON.SHP	ICON: Rocket Launcher
MTHANKS1.AUD	Thanks
MTIBER1.AUD	Mind The Tiberium
MTNK.SHP	Medium Tank
MTNKICNH.DES	ICON: Medium Tank
MTNKICNH.TEM	ICON: Medium Tank
MTNKICNH.WIN	ICON: Medium Tank
MTNKICON.SHP	ICON: Medium Tank
MULTSCOR.PAL	PAL: ???
MYES1.AUD	Yes
MYESYES1.AUD	Yes Yes Yes
NAPALM.VQA	Planes Blowing Up Mobile HQ
NAPALM.VQP	Planes Blowing Up Mobile HQ
NAPALM1.SHP	Small Fire
NAPALM2.SHP	Medium Fire
NAPALM3.SHP	Large Fire
NAYLOOK.VQP	???
NEEDHARV.AUD	Need Harvester
NEWOPT1.AUD	New Construction Options
NEWTARG1.AUD	New Target
NITEJUMP.VQA	Soldiers Infiltrating Base
NITEJUMP.VQP	Soldiers Infiltrating Base
NOBUILD1.AUD	Unable To Build More
NOCASH1.AUD	Insufficient Funds
NOD1.VQA	Kill Village Chief
NOD1.VQP	Kill Village Chief
NOD10A.VQA	Kill Scientist
NOD10A.VQP	Kill Scientist
NOD10B.VQA	Destroy Mammoth Tank
NOD10B.VQP	Destroy Mammoth Tank
NOD11.VQA	Recapture Stealth Tank
NOD11.VQP	Recapture Stealth Tank
NOD12.VQA	Capture Communications Center
NOD12.VQP	Capture Communications Center
NOD13.VQA	Remove GDI Bases
NOD13.VQP	Remove GDI Bases
NOD1PRE.VQA	Static To Nod Logo
NOD1PRE.VQP	Static To Nod Logo
NOD2.VQA	Setup A Base
NOD2.VQP	Setup A Base
NOD3.VQA	Free The Prisoners
NOD3.VQP	Free The Prisoners
NOD4A.VQA	Destroy Village
NOD4A.VQP	Destroy Village
NOD4B.VQA	Eliminate The GDI
NOD4B.VQP	Eliminate The GDI
NOD5.VQA	Destroy The Airbase
NOD5.VQP	Destroy The Airbase
NOD6.VQA	Get Detonator
NOD6.VQP	Get Detonator
NOD7A.VQA	Destroy Village
NOD7A.VQP	Destroy Village
NOD7B.VQA	Capture Orca
NOD7B.VQP	Capture Orca
NOD8.VQA	Capture GDI Base
NOD8.VQP	Capture GDI Base
NOD9.VQA	Reinforce Base
NOD9.VQP	Reinforce Base
NOD_SLCT.AUD	Brotherhood of Nod selected
NODCAPT1.AUD	Nod Building Captured
NODDEAD1.AUD	Nod Unit Destroyed
NODEND1.VQA	Destroying The Effiel Tower
NODEND1.VQP	Destroying The Effiel Tower
NODEND2.VQA	Destroying The White House
NODEND2.VQP	Destroying The White House
NODEND3.VQA	Destroying Big Ben
NODEND3.VQP	Destroying Big Ben
NODEND4.VQA	Destroying The Gate
NODEND4.VQP	Destroying The Gate
NODFINAL.VQA	Nod Getting The Ion Cannon
NODFINAL.VQP	Nod Getting The Ion Cannon
NODFLEES.VQA	Nod Soldiers Runnning Away
NODFLEES.VQP	Nod Soldiers Runnning Away
NODGEN.INF	INF: List For NOD GENERAL.MIX
NODLOSE.VQA	Nod Logo Turning Into GDI Logo
NODLOSE.VQP	Nod Logo Turning Into GDI Logo
NODMOV.INF	INF: List For NOD MOVIES.MIX
NODSWEEP.VQA	Nod Forces Assaulting Village
NODSWEEP.VQP	Nod Forces Assaulting Village
NOMERCY.AUD	No Mercy
NOPOWER1.AUD	No Power
NOPRBLM1.AUD	No Problem
NOPROB.V01	C&C #2 No Problem
NOPROB.V03	C&C #4 No Problem
NOREDY1.AUD	Not Ready
NSTRUC1.AUD	Nod Structure Destroyed
NUK2.SHP	Advanced Power Plant
NUK2ICNH.DES	ICON: Advanced Power Plant
NUK2ICNH.TEM	ICON: Advanced Power Plant
NUK2ICNH.WIN	ICON: Advanced Power Plant
NUK2ICON.SHP	ICON: Advanced Power Plant
NUK2MAKE.SHP	MAKE: Advanced Power Plant
NUKAVAIL.AUD	Nuclear Missile Available
NUKE.SHP	Power Plant
NUKE.VQA	Nuclear Expolsion
NUKE.VQP	Nuclear Expolsion
NUKE1.AUD	Nuclear Warhead Approaching
NUKEICNH.DES	ICON: Power Plant
NUKEICNH.TEM	ICON: Power Plant
NUKEICNH.WIN	ICON: Power Plant
NUKEICON.SHP	ICON: Power Plant
NUKEMAKE.SHP	MAKE: Power Plant
NUKEMISL.AUD	Nuclear Missile
NUKEMISL.JUV	Nuclear Missile
NUKEXPLO.AUD	Nuke Explosion
NUKEXPLO.JUV	Nuke Explosion
NUKLNCH1.AUD	Nuclear Missile Lauched
NUYELL1.AUD	Death Scream 1
NUYELL10.AUD	Death Scream 10
NUYELL11.AUD	Death Scream 11
NUYELL12.AUD	Death Scream 12
NUYELL3.AUD	Death Scream 3
NUYELL4.AUD	Death Scream 4
NUYELL5.AUD	Death Scream 5
NUYELL6.AUD	Death Scream 6
NUYELL7.AUD	Death Scream 7
OBEL.VQA	Obelisk Of Light
OBEL.VQP	Obelisk Of Light
OBELPOWR.AUD	Obelisk Of Light Powering Up
OBELRAY1.AUD	Obelisk Of Light Sound
OBELRAY1.JUV	Obelisk Of Light Sound
OBLI.SHP	Obelisk of Light
OBLIICNH.DES	ICON: Obelisk of Light
OBLIICNH.TEM	ICON: Obelisk of Light
OBLIICNH.WIN	ICON: Obelisk of Light
OBLIICON.SHP	ICON: Obelisk of Light
OBLIMAKE.SHP	MAKE: Obelisk of Light
ONHOLD1.AUD	On Hold
ONIT1.AUD	Commando Im On It
OPTIONS.SHP	Window Bits
ORCA.SHP	Orca
ORCAICNH.DES	ICON: Orca
ORCAICNH.TEM	ICON: Orca
ORCAICNH.WIN	ICON: Orca
ORCAICON.SHP	ICON: Orca
OTP.AUD	On The Prowl
OVEROUT.V01	C&C #1 Over And Out
OVEROUT.V03	C&C #3 Over And Out
P01.DES	Debris
P01.TEM	Debris
P02.DES	Debris
P02.TEM	Debris
P03.DES	Debris
P03.TEM	Debris
P04.DES	Debris
P04.TEM	Debris
P05.DES	Gray Sand
P06.DES	Gray Sand
P07.DES	Debris
P07.TEM	Debris
P07.WIN	Debris
P08.TEM	Debris
P08.WIN	Debris
P13.TEM	Debris
P13.WIN	Debris
P14.TEM	Debris
P14.WIN	Debris
P15.WIN	Snow
P16.WIN	Snow
P17.WIN	Snow
P18.WIN	Snow
P19.WIN	Snow
P20.WIN	Snow
PAGE0001.CPS	PICT: ???
PAGE0002.CPS	PICT: Sound Card Selection
PAGE0003.CPS	PICT: Sound Card Selection
PAGE0004.CPS	PICT: Mouths
PAGE0005.CPS	PICT: Bars
PAGE0006.CPS	PICT: Port IRQ Dma Window
PAGE00A4.CPS	PICT: Mouth
PAGE01.CPS	PICT: ???
PAGE0203.CPS	PICT: Sound Card Selection
PAGE0204.CPS	PICT: Sound Card Selection
PAGE0205.CPS	PICT: Sound Card Selection
PAGE0206.CPS	PICT: Sound Card Selection
PAGE02A4.CPS	PICT: Sound Card Selection
PAGE0305.CPS	PICT: Sound Card Selection
PAGE0402.CPS	PICT: Mouths
PAGE0403.CPS	PICT: Mouths
PAGE04A2.CPS	PICT: Mouth
PAGE04A3.CPS	PICT: Mouth
PAGE05.CPS	PICT: Single Bar
PAGE0602.CPS	PICT: Port IRQ Dma Window
PAGE0604.CPS	PICT: Port IRQ Dma Window
PAGE06A4.CPS	PICT: Port IRQ Dma Window
PARATROP.VQA	Paratroopers
PARATROP.VQP	Paratroopers
PATRIOT.SHP	Patriot Missile
PIFF.SHP	Smoke
PIFFPIFF.SHP	Smoke
PINTLE.VQA	Helicopter Being Shot Down
PINTLE.VQP	Helicopter Being Shot Down
PIPS.SHP	Building messages
PLANECRA.VQA	Transport Plane Crashing
PLANECRA.VQP	Transport Plane Crashing
PODIUM.VQA	GDI Person At Press Confrence
PODIUM.VQP	GDI Person At Press Confrence
POWER.SHP	Power Requirement Indicator
POWRDN1.AUD	Power Down
POWRDN1.JUV	Power Down
PREPICK.CPS	PICT: C&C Demo Info
PRIBLDG1.AUD	Primary Building Selected
PROC.SHP	Refinery
PROCICNH.DES	ICON: Refinery
PROCICNH.TEM	ICON: Refinery
PROCICNH.WIN	ICON: Refinery
PROCICON.SHP	ICON: Refinery
PROCMAKE.SHP	MAKE: Refinery
PRP.AUD	Prepare For Battle
PUMPICON.SHP	ICON: Blank Tile
PUMPMAKE.SHP	MAKE: MCV To Construction Yard Left Cut
PYLE.SHP	GDI Barracks
PYLEICNH.DES	ICON: GDI Barracks
PYLEICNH.TEM	ICON: GDI Barracks
PYLEICNH.WIN	ICON: GDI Barracks
PYLEICON.SHP	ICON: GDI Barracks
PYLEMAKE.SHP	MAKE: GDI Barracks
RA.PAL	PAL: Red Alert
RADAR.GDI	GDI Radar And Logo
RADAR.JP	JP Radar And Logo
RADAR.NOD	NOD Radar And Logo
RADIO.AUD	Radio
RAIN.AUD	Rain In The Night
RAMGUN2.AUD	Commando Gun Sound
RAMGUN2.JUV	Commando Gun Sound
RAMYELL1.AUD	Commando Yell
RAPID.SHP	CRAT: Red skull
RAPT.SHP	Velociraptor
READY.V01	C&C #2 Ready & Waiting
READY.V03	C&C #4 Ready & Waiting
RECN226M.AUD	Recon
RECORD.BIN	Info For Map Screens (Population ETC)
REFINERY.VQA	Info On Tiberium Refinery
REFINERY.VQP	Info On Tiberium Refinery
REFINT.VQA	Interior Of Tiberium Refinery
REFINT.VQP	Interior Of Tiberium Refinery
REINFOR1.AUD	Reinforcements have arrived
REPAIR.SHP	BUTT: Repair
REPAIR1.AUD	Repairing
REPORT1.V00	C&C #1 Reporting
REPORT1.V01	C&C #2 Reporting
REPORT1.V02	C&C #3 Reporting
REPORT1.V03	C&C #4 Reporting
RETRO.VQA	Rescue Mission
RETRO.VQP	Rescue Mission
RIGHT1.WSA	ANIM: Right Mouth Moving
RIGHT16.AUD	Right
RITAWAY.V01	C&C #2 Right Away Sir
RITAWAY.V03	C&C #4 Right Away Sir
RMBO.SHP	Commando
RMBOICNH.DES	ICON: Commando
RMBOICNH.TEM	ICON: Commando
RMBOICNH.WIN	ICON: Commando
RMBOICON.SHP	ICON: Commando
ROAD.SHP	ICON: Blank Tile Checkerboard
ROADICON.SHP	ICON: Blank Tile
ROCK1.DES	Rock 1
ROCK2.DES	Rock 2
ROCK3.DES	Rock 3
ROCK4.DES	Rock 4
ROCK5.DES	Rock 5
ROCK6.DES	Rock 6
ROCK7.DES	Rock 7
ROCKET1.AUD	Rocket 1
ROCKET1.JUV	Rocket 1
ROCKET2.AUD	Rocket 2
ROCKET2.JUV	Rocket 2
ROGER.V01	C&C #2 Roger
ROGER.V03	C&C #2 Roger
ROKROLL1.AUD	Commando Time To Rock And Roll
ROUT.VAR	Reaching Out SFX
RROTOR.SHP	Rotor shadows
RV01.TEM	River W-E 1
RV01.WIN	River W-E 1
RV02.TEM	River W-E 2
RV02.WIN	River W-E 2
RV03.TEM	River Wu-Ed
RV03.WIN	River Wu-Ed
RV04.TEM	River Wd-Eu
RV04.WIN	River Wd-Eu
RV05.TEM	River N-S 1
RV05.WIN	River N-S 1
RV06.TEM	River N-S 2
RV06.WIN	River N-S 2
RV07.TEM	River N-S 3
RV07.WIN	River N-S 3
RV08.TEM	River Corner S-E
RV08.WIN	River Corner S-E
RV09.TEM	River Corner W-S
RV09.WIN	River Corner W-S
RV10.TEM	River Corner N-E
RV10.WIN	River Corner N-E
RV11.TEM	River Corner W-N
RV11.WIN	River Corner W-N
RV12.TEM	River Y N--W+S
RV12.WIN	River Y N--W+S
RV13.TEM	River Y Eu--W+S
RV13.WIN	River Y Eu--W+S
RV14.DES	River W-E 3
RV15.DES	River W-E 4
RV16.DES	River Wd-Eu 2
RV17.DES	River Wu-Ed 2
RV18.DES	River N-S 4
RV19.DES	River N-S 4
RV20.DES	River Nr-Sl
RV21.DES	River Nl-Sr
RV22.DES	River Corner E-S 2
RV23.DES	River Corner W-S 2
RV24.DES	River Corner N-E 2
RV25.DES	River Corner N-W 2
S-GDIIN2.WSA	ANIM: GDI Score Screen
S01.DES	Cliff Left Edge South
S01.TEM	Cliff Left Edge South
S01.WIN	Cliff Left Edge South
S02.DES	Cliff Wu-Wd South
S02.TEM	Cliff Wu-Wd South
S02.WIN	Cliff Wu-Wd South
S03.DES	Cliff W-E 1 South
S03.TEM	Cliff W-E 1 South
S03.WIN	Cliff W-E 1 South
S04.DES	Cliff W-E 2 South
S04.TEM	Cliff W-E 2 South
S04.WIN	Cliff W-E 2 South
S05.DES	Cliff W-E 3 South
S05.TEM	Cliff W-E 3 South
S05.WIN	Cliff W-E 3 South
S06.DES	Cliff Wd-Eu South
S06.TEM	Cliff Wd-Eu South
S06.WIN	Cliff Wd-Eu South
S07.DES	Cliff Right Edge South
S07.TEM	Cliff Right Edge South
S07.WIN	Cliff Right Edge South
S08.DES	Cliff Top Edge West
S08.TEM	Cliff Top Edge West
S08.WIN	Cliff Top Edge West
S09.DES	Cliff Nl-Sr West
S09.TEM	Cliff Nl-Sr West
S09.WIN	Cliff Nl-Sr West
S10.DES	Cliff N-S 1 West
S10.TEM	Cliff N-S 1 West
S10.WIN	Cliff N-S 1 West
S11.DES	Cliff N-S 2 West
S11.TEM	Cliff N-S 2 West
S11.WIN	Cliff N-S 2 West
S12.DES	Cliff N-S 3 West
S12.TEM	Cliff N-S 3 West
S12.WIN	Cliff N-S 3 West
S13.DES	Cliff Sl-Nr West
S13.TEM	Cliff Sl-Nr West
S13.WIN	Cliff Sl-Nr West
S14.DES	Cliff Bottom Edge West
S14.TEM	Cliff Bottom Edge West
S14.WIN	Cliff Bottom Edge West
S15.DES	Cliff Left Edge North
S15.TEM	Cliff Left Edge North
S15.WIN	Cliff Left Edge North
S16.DES	Cliff Wu-Ed North
S16.TEM	Cliff Wu-Ed North
S16.WIN	Cliff Wu-Ed North
S17.DES	Cliff W-E 1 North
S17.TEM	Cliff W-E 1 North
S17.WIN	Cliff W-E 1 North
S18.DES	Cliff W-E 2 North
S18.TEM	Cliff W-E 2 North
S18.WIN	Cliff W-E 2 North
S19.DES	Cliff W-E 3 North
S19.TEM	Cliff W-E 3 North
S19.WIN	Cliff W-E 3 North
S20.DES	Cliff Wu-Ed North
S20.TEM	Cliff Wu-Ed North
S20.WIN	Cliff Wu-Ed North
S21.DES	Cliff Right Edge North
S21.TEM	Cliff Right Edge North
S21.WIN	Cliff Right Edge North
S22.DES	Cliff Top Edge East
S22.TEM	Cliff Top Edge East
S22.WIN	Cliff Top Edge East
S23.DES	Cliff Sl-Nr East
S23.TEM	Cliff Sl-Nr East
S23.WIN	Cliff Sl-Nr East
S24.DES	Cliff N-S 1 East
S24.TEM	Cliff N-S 1 East
S24.WIN	Cliff N-S 1 East
S25.DES	Cliff N-S 2 East
S25.TEM	Cliff N-S 2 East
S25.WIN	Cliff N-S 2 East
S26.DES	Cliff N-S 3 East
S26.TEM	Cliff N-S 3 East
S26.WIN	Cliff N-S 3 East
S27.DES	Cliff Nl-Sr East
S27.TEM	Cliff Nl-Sr East
S27.WIN	Cliff Nl-Sr East
S28.DES	Cliff Bottom Edge East
S28.TEM	Cliff Bottom Edge East
S28.WIN	Cliff Bottom Edge East
S29.DES	Cliff Corner N-E External
S29.TEM	Cliff Corner N-E External
S29.WIN	Cliff Corner N-E External
S30.DES	Cliff Corner S-E External
S30.TEM	Cliff Corner S-E External
S30.WIN	Cliff Corner S-E External
S31.DES	Cliff Corner W-S External
S31.TEM	Cliff Corner W-S External
S31.WIN	Cliff Corner W-S External
S32.DES	Cliff Corner N-W External
S32.TEM	Cliff Corner N-W External
S32.WIN	Cliff Corner N-W External
S33.DES	Cliff Corner N-E Internal
S33.TEM	Cliff Corner N-E Internal
S33.WIN	Cliff Corner N-E Internal
S34.DES	Cliff Corner S-E Internal
S34.TEM	Cliff Corner S-E Internal
S34.WIN	Cliff Corner S-E Internal
S35.DES	Cliff Corner W-S Internal
S35.TEM	Cliff Corner W-S Internal
S35.WIN	Cliff Corner W-S Internal
S36.DES	Cliff Corner W-N Internal
S36.TEM	Cliff Corner W-N Internal
S36.WIN	Cliff Corner W-N Internal
S37.DES	Cliff Junction NW-SE
S37.TEM	Cliff Junction NW-SE
S37.WIN	Cliff Junction NW-SE
S38.DES	Cliff Junction SW-NE
S38.TEM	Cliff Junction SW-NE
S38.WIN	Cliff Junction SW-NE
S_AFRICA.WSA	ANIM: Zoom on South Africa
SABOTAGE.VQA	Sabotage
SABOTAGE.VQP	Sabotage
SAM.SHP	Sam Site
SAMDIE.VQA	Sam Site Being Blown Up
SAMDIE.VQP	Sam Site Being Blown Up
SAMFIRE.SHP	Sam Site Smoke
SAMICNH.DES	ICON: Sam Site
SAMICNH.TEM	ICON: Sam Site
SAMICNH.WIN	ICON: Sam Site
SAMICON.SHP	ICON: Sam Site
SAMMAKE.SHP	MAKE: Sam Site
SAMMOTR2.AUD	Sam Site Motor
SAMMOTR2.JUV	Sam Site Motor
SAMSITE.VQA	Sam Site Firing
SAMSITE.VQP	Sam Site Firing
SATSEL.CPS	PICT: Satellite Selection Screen
SATSEL.PAL	PAL: ???
SATSELIN.PAL	PAL: ???
SBAG.SHP	Sandbags
SBAGICNH.DES	ICON: Sandbags
SBAGICNH.TEM	ICON: Sandbags
SBAGICNH.WIN	ICON: Sandbags
SBAGICON.SHP	ICON: Sandbags
SC-000.INF	INF: List For SC-000.MIX
SC-001.INF	INF: List For SC-001.MIX
SC1.DES	Scorch Mark 1
SC1.TEM	Scorch Mark 1
SC1.WIN	Scorch Mark 1
SC2.DES	Scorch Mark 2
SC2.TEM	Scorch Mark 2
SC2.WIN	Scorch Mark 2
SC3.DES	Scorch Mark 3
SC3.TEM	Scorch Mark 3
SC3.WIN	Scorch Mark 3
SC4.DES	Scorch Mark 4
SC4.TEM	Scorch Mark 4
SC4.WIN	Scorch Mark 4
SC5.DES	Scorch Mark 5
SC5.TEM	Scorch Mark 5
SC5.WIN	Scorch Mark 5
SC6.DES	Scorch Mark 6
SC6.TEM	Scorch Mark 6
SC6.WIN	Scorch Mark 6
SCB01EA.BIN	BIN: Nod Mission 1
SCB01EA.INI	INIF: Nod Mission 1
SCB02EA.BIN	BIN: Nod Mission 2
SCB02EA.INI	INIF: Nod Mission 2
SCB02EB.BIN	BIN: Nod Mission 2b
SCB02EB.INI	INIF: Nod Mission 2b
SCB03EA.BIN	BIN: Nod Mission 3
SCB03EA.INI	INIF: Nod Mission 3
SCB03EB.BIN	BIN: Nod Mission 3b
SCB03EB.INI	INIF: Nod Mission 3b
SCB04EA.BIN	BIN: Nod Mission 4
SCB04EA.INI	INIF: Nod Mission 4
SCB04EB.BIN	BIN: Nod Mission 4b
SCB04EB.INI	INIF: Nod Mission 4b
SCB05EA.BIN	BIN: Nod Mission 5
SCB05EA.INI	INIF: Nod Mission 5
SCB06EA.BIN	BIN: Nod Mission 6
SCB06EA.INI	INIF: Nod Mission 6
SCB06EB.BIN	BIN: Nod Mission 6b
SCB06EB.INI	INIF: Nod Mission 6b
SCB06EC.BIN	BIN: Nod Mission 6c
SCB06EC.INI	INIF: Nod Mission 6c
SCB07EA.BIN	BIN: Nod Mission 7
SCB07EA.INI	INIF: Nod Mission 7
SCB07EB.BIN	BIN: Nod Mission 7b
SCB07EB.INI	INIF: Nod Mission 7b
SCB07EC.BIN	BIN: Nod Mission 7c
SCB07EC.INI	INIF: Nod Mission 7c
SCB08EA.BIN	BIN: Nod Mission 8
SCB08EA.INI	INIF: Nod Mission 8
SCB08EB.BIN	BIN: Nod Mission 8b
SCB08EB.INI	INIF: Nod Mission 8b
SCB09EA.BIN	BIN: Nod Mission 9
SCB09EA.INI	INIF: Nod Mission 9
SCB10EA.BIN	BIN: Nod Mission 10
SCB10EA.INI	INIF: Nod Mission 10
SCB10EB.BIN	BIN: Nod Mission 10b
SCB10EB.INI	INIF: Nod Mission 10b
SCB11EA.BIN	BIN: Nod Mission 11
SCB11EA.INI	INIF: Nod Mission 11
SCB11EB.BIN	BIN: Nod Mission 11b
SCB11EB.INI	INIF: Nod Mission 11b
SCB12EA.BIN	BIN: Nod Mission 12
SCB12EA.INI	INIF: Nod Mission 12
SCB13EA.BIN	BIN: Nod Mission 13
SCB13EA.INI	INIF: Nod Mission 13
SCB13EB.BIN	BIN: Nod Mission 13b
SCB13EB.INI	INIF: Nod Mission 13b
SCB13EC.BIN	BIN: Nod Mission 13c
SCB13EC.INI	INIF: Nod Mission 13c
SCB20EA.BIN	BIN: Bad Neighbourhood
SCB20EA.INI	INIF: Bad Neighbourhood
SCB21EA.BIN	BIN: Decit
SCB21EA.INI	INIF: Decit
SCB30EA.BIN	BIN: Eviction Notice
SCB30EA.INI	INIF: Eviction Notice
SCB31EA.BIN	BIN: The Tiberium Strain
SCB31EA.INI	INIF: The Tiberium Strain
SCB32EA.BIN	BIN: Cloak And Dagger
SCB32EA.INI	INIF: Cloak And Dagger
SCB33EA.BIN	BIN: Hostile Takeover
SCB33EA.INI	INIF: Hostile Takeover
SCB35EA.BIN	BIN: Under Siege
SCB35EA.INI	INIF: Under Siege
SCB37EA.BIN	BIN: Nod Death Squad
SCB37EA.INI	INIF: Nod Death Squad
SCG01EA.BIN	BIN: GDI Mission 1
SCG01EA.INI	INIF: GDI Mission 1
SCG02EA.BIN	BIN: GDI Mission 2
SCG02EA.INI	INIF: GDI Mission 2
